Date,Price
1/24/2021,32289.38
1/25/2021,32366.39
1/26/2021,32569.85
1/27/2021,30432.55
1/28/2021,33466.1
1/29/2021,34316.39
1/30/2021,34269.52
1/31/2021,33114.36
2/1/2021,33537.18
2/2/2021,35510.29
2/3/2021,37472.09
2/4/2021,36926.06
2/5/2021,38144.31
2/6/2021,39266.01
2/7/2021,38903.44
2/8/2021,46196.46
2/9/2021,46481.1
2/10/2021,44918.18
2/11/2021,47909.33
2/12/2021,47504.85
2/13/2021,47105.52
2/14/2021,48717.29
2/15/2021,47945.06
2/16/2021,49199.87
2/17/2021,52149.01
2/18/2021,51679.8
2/19/2021,55888.13
2/20/2021,56099.52
2/21/2021,57539.94
2/22/2021,54207.32
2/23/2021,48824.43
2/24/2021,49705.33
2/25/2021,47093.85
2/26/2021,46339.76
2/27/2021,46188.45
2/28/2021,45137.77
3/1/2021,49631.24
3/2/2021,48378.99
3/3/2021,50538.24
3/4/2021,48561.17
3/5/2021,48927.3
3/6/2021,48912.38
3/7/2021,51206.69
3/8/2021,52246.52
3/9/2021,54824.12
3/10/2021,56008.55
3/11/2021,57805.12
3/12/2021,57332.09
3/13/2021,61243.08
3/14/2021,59302.32
3/15/2021,55907.2
3/16/2021,56804.9
3/17/2021,58870.89
3/18/2021,57858.92
3/19/2021,58346.65
3/20/2021,58313.64
3/21/2021,57523.42
3/22/2021,54529.15
3/23/2021,54738.94
3/24/2021,52774.26
3/25/2021,51704.16
3/26/2021,55137.31
3/27/2021,55973.51
3/28/2021,55950.75
3/29/2021,57750.2
3/30/2021,58917.69
3/31/2021,58918.83
4/1/2021,59095.81
4/2/2021,59384.31
4/3/2021,57603.89
4/4/2021,58758.56
4/5/2021,59057.88
4/6/2021,58192.36
4/7/2021,56048.94
4/8/2021,58323.95
4/9/2021,58245
4/10/2021,59793.24
4/11/2021,60204.96
4/12/2021,59893.45
4/13/2021,63503.46
4/14/2021,63109.7
4/15/2021,63314.01
4/16/2021,61572.79
4/17/2021,60683.82
4/18/2021,56216.19
4/19/2021,55724.27
4/20/2021,56473.03
4/21/2021,53906.09
4/22/2021,51762.27
4/23/2021,51093.65
4/24/2021,50050.87
4/25/2021,49004.25
4/26/2021,54021.75
4/27/2021,55033.12
4/28/2021,54824.7
4/29/2021,53555.11
4/30/2021,57750.18
5/1/2021,57828.05
5/2/2021,56631.08
5/3/2021,57200.29
5/4/2021,53333.54
5/5/2021,57424.01
5/6/2021,56396.51
5/7/2021,57356.4
5/8/2021,58803.78
5/9/2021,58232.32
5/10/2021,55859.8
5/11/2021,56704.57
5/12/2021,49150.53
5/13/2021,49716.19
5/14/2021,49880.53
5/15/2021,46760.19
5/16/2021,46456.06
5/17/2021,43537.51
5/18/2021,42909.4
5/19/2021,37002.44
5/20/2021,40782.74
5/21/2021,37304.69
5/22/2021,37536.63
5/23/2021,34770.58
5/24/2021,38705.98
5/25/2021,38402.22
5/26/2021,39294.2
5/27/2021,38436.97
5/28/2021,35697.61
5/29/2021,34616.07
5/30/2021,35678.13
5/31/2021,37332.85
6/1/2021,36684.92
6/2/2021,37575.18
6/3/2021,39208.77
6/4/2021,36894.41
6/5/2021,35551.96
6/6/2021,35862.38
6/7/2021,33560.71
6/8/2021,33472.63
6/9/2021,37345.12
6/10/2021,36702.6
6/11/2021,37334.4
6/12/2021,35552.52
6/13/2021,39097.86
6/14/2021,40218.48
6/15/2021,40406.27
6/16/2021,38347.06
6/17/2021,38053.5
6/18/2021,35787.24
6/19/2021,35615.87
6/20/2021,35698.3
6/21/2021,31676.69
6/22/2021,32505.66
6/23/2021,33723.03
6/24/2021,34662.44
6/25/2021,31637.78
6/26/2021,32186.28
6/27/2021,34649.64
6/28/2021,34434.34
6/29/2021,35867.78
6/30/2021,35040.84
7/1/2021,33572.12
7/2/2021,33897.05
7/3/2021,34668.55
7/4/2021,35287.78
7/5/2021,33746
7/6/2021,34235.19
7/7/2021,33855.33
7/8/2021,32877.37
7/9/2021,33798.01
7/10/2021,33520.52
7/11/2021,34240.19
7/12/2021,33155.85
7/13/2021,32702.03
7/14/2021,32822.35
7/15/2021,31780.73
7/16/2021,31421.54
7/17/2021,31533.07
7/18/2021,31796.81
7/19/2021,30817.83
7/20/2021,29807.35
7/21/2021,32110.69
7/22/2021,32313.11
7/23/2021,33581.55
7/24/2021,34292.45
7/25/2021,35350.19
7/26/2021,37337.53
7/27/2021,39406.94
7/28/2021,39995.91
7/29/2021,40008.42
7/30/2021,42235.55
7/31/2021,41626.2
8/1/2021,39974.9
8/2/2021,39201.95
8/3/2021,38152.98
8/4/2021,39747.51
8/5/2021,40869.55
8/6/2021,42816.5
8/7/2021,44555.8
8/8/2021,43798.12
8/9/2021,46365.4
8/10/2021,45585.03
8/11/2021,45593.64
8/12/2021,44428.29
8/13/2021,47793.32
8/14/2021,47096.95
8/15/2021,47047
8/16/2021,46004.48
8/17/2021,44695.36
8/18/2021,44801.19
8/19/2021,46717.58
8/20/2021,49339.18
8/21/2021,48905.49
8/22/2021,49321.65
8/23/2021,49546.15
8/24/2021,47706.12
8/25/2021,48960.79
8/26/2021,46942.22
8/27/2021,49058.67
8/28/2021,48902.4
8/29/2021,48829.83
8/30/2021,47054.98
8/31/2021,47166.69
9/1/2021,48847.03
9/2/2021,49327.72
9/3/2021,50025.37
9/4/2021,49944.63
9/5/2021,51753.41
9/6/2021,52633.54
9/7/2021,46811.13
9/8/2021,46091.39
9/9/2021,46391.42
9/10/2021,44883.91
9/11/2021,45201.46
9/12/2021,46063.27
9/13/2021,44963.07
9/14/2021,47092.49
9/15/2021,48176.35
9/16/2021,47783.36
9/17/2021,47267.52
9/18/2021,48278.36
9/19/2021,47260.22
9/20/2021,42843.8
9/21/2021,40693.68
9/22/2021,43574.51
9/23/2021,44895.1
